Id,MatchId,PlayerId,Average,CheckoutPercentage,Total180s,Total140s,HighestCheckout,LegsWon,SetsWon
132,66,46,90.92,50.0,2,8,149,6,1
133,67,9,92.6,31.03,13,31,140,18,4
134,67,30,92.77,35.19,7,29,170,19,3
135,68,25,96.5,33.33,8,21,144,8,2
136,68,16,96.19,45.16,10,21,117,14,4
137,69,1,98.59,52.17,4,17,145,12,4
138,69,60,93.42,57.14,1,16,105,4,0
139,70,24,97.4,62.07,8,28,113,18,4
140,70,20,100.97,48.39,9,38,124,15,3
141,71,36,94.39,50.0,4,15,83,8,1
142,71,29,97.0,52.0,3,20,129,13,4
143,72,23,92.17,60.0,6,16,101,12,4
144,72,26,86.85,40.0,4,17,124,6,0
145,73,7,97.29,45.16,9,24,14,4
146,73,12,95.99,37.04,9,20,114,10,2
147,74,3,97.01,39.47,10,22,149,15,4
148,74,37,96.08,42.86,6,17,123,9,2
149,75,2,97.84,35.14,12,20,114,13,4
150,75,48,96.4,33.33,6,21,86,8,1
151,76,52,89.99,43.33,8,22,104,13,4
152,76,124,83.01,38.89,2,13,91,7,1
153,77,42,89.67,48.28,8,21,170,14,4
154,77,34,94.55,35.14,2,20,126,13,3
155,78,22,94.79,40.0,8,13,72,4,0
156,78,41,105.31,48.0,8,18,100,12,4
157,79,45,86.84,42.86,5,14,126,12,2
158,79,58,92.92,39.47,7,27,101,15,4
159,80,6,91.73,45.45,3,20,141,10,2
160,80,8,92.28,36.11,5,21,13,4
161,81,1,99.23,56.25,4,21,161,9,1
162,81,16,100.93,70.0,5,22,14,4
163,82,42,88.17,30.0,8,22,130,12,3
164,82,7,91.59,27.42,9,25,100,17,4
165,83,58,94.07,27.91,6,30,142,12,3
166,83,41,97.38,43.24,12,27,112,16,4
167,84,28,78.46,28.57,2,5,75,2,0
168,84,23,94.28,38.71,6,16,131,12,4
169,85,4,96.78,41.38,6,18,121,12,4
170,85,31,90.61,21.43,1,15,150,3,0
171,86,3,101.98,46.43,6,17,126,13,4
172,86,52,91.94,53.85,6,16,85,7,2
173,87,2,103.14,35.42,14,40,68,17,4
174,87,24,97.73,48.15,7,23,117,13,3
175,88,7,95.38,40.82,12,24,107,20,5
176,88,8,92.74,26.79,6,25,128,15,3
177,89,3,103.1,44.74,14,32,154,17,5
178,89,41,103.88,46.15,17,46,135,18,3
179,90,16,92.41,45.45,3,16,133,10,2
180,90,4,95.55,43.24,2,24,143,16,5
181,91,2,101.54,45.24,15,33,105,19,5
182,91,23,96.31,35.71,11,25,70,10,2
183,92,7,94.77,40.0,5,19,170,10,1
184,92,3,98.84,42.86,8,25,158,18,6
185,93,4,100.1,36.36,9,34,80,12,1
186,93,2,105.48,44.19,13,37,170,19,6
187,94,2,102.73,55.56,12,35,130,25,7
188,94,3,100.69,36.84,13,35,132,14,3
189,95,12,98.16,42.86,5,9,60,6,3
190,95,25,94.75,44.44,2,10,47,4,1
191,96,10,92.32,54.55,2,7,105,6,3
192,96,14,96.81,19.05,5,11,84,4,1
193,97,9,103.19,57.14,4,11,140,4,1
194,97,47,98.75,40,4,10,6,3
195,98,8,97.49,46.15,0,5,127,6,3
196,98,52,92.08,50,0,4,70,1,0
197,99,16,101.28,43.75,5,16,121,7,3
198,99,42,97.42,35.29,6,15,140,6,2
199,100,1,98.62,38.89,2,11,76,7,3
200,100,30,92.50,25,4,12,103,3,1
201,101,4,95.03,53.85,1,14,130,7,3
202,101,96,92.06,46.15,1,13,170,6,2
203,102,15,97.32,63.64,2,11,81,7,3
204,102,21,96.99,33.33,4,9,160,4,1
205,103,5,92.61,31.82,0,9,87,7,3
206,103,19,91.76,28.57,1,11,116,4,2
207,104,13,90.69,25,4,10,68,3,1
208,104,33,87.74,50,1,6,72,6,3
209,105,6,112.77,66.67,5,14,121,6,3
210,105,17,105.05,42.86,2,11,40,3,1
211,106,23,103.77,75,5,11,161,6,3
212,106,26,101.26,25,3,8,58,1,0
213,107,7,91.83,33.33,3,8,110,5,1
214,107,20,90.93,33.33,3,11,80,7,3
215,108,2,104.33,66.67,2,6,77,6,3
216,108,71,95.94,25,0,5,1,0
217,109,3,95.87,36.84,3,9,106,7,3
218,109,73,91.17,40,1,10,64,2,1
219,110,11,100.03,40,3,11,41,2,1
220,110,22,102.43,54.55,4,6,72,6,3
221,111,47,88.16,33.33,2,9,68,4,0
222,111,15,96.27,44.44,4,11,118,8,4
223,112,10,94.58,45,0,4,124,9,4
224,112,9,96.37,32,6,15,98,8,3
225,113,4,93.67,42.86,5,19,97,9,4
226,113,16,94.84,36.84,6,18,122,7,2
227,114,1,94.63,66.67,2,9,104,8,4
228,114,12,94.78,20,3,11,72,2,0
229,115,6,93.84,34.48,1,19,144,10,4
